country,region,city,extraction_date,type,category,extension
italy,emilia-romagna,bologna,2025-03-15,data,listings,csv.gz
italy,emilia-romagna,bologna,2025-03-15,data,reviews,csv.gz
italy,emilia-romagna,bologna,2025-03-15,data,hosts,csv.gz
italy,emilia-romagna,bologna,2025-03-15,visualisations,listings,csv
italy,toscana,florence,2025-03-15,data,listings,csv.gz
italy,toscana,florence,2025-03-15,data,reviews,csv.gz
italy,toscana,florence,2025-03-15,data,hosts,csv.gz
italy,toscana,florence,2025-03-15,visualisations,listings,csv
italy,lombardy,milan,2025-03-13,data,listings,csv.gz
italy,lombardy,milan,2025-03-13,data,reviews,csv.gz
italy,lombardy,milan,2025-03-13,data,hosts,csv.gz
italy,lombardy,milan,2025-03-13,visualisations,listings,csv
italy,campania,naples,2025-03-13,data,listings,csv.gz
italy,campania,naples,2025-03-13,data,reviews,csv.gz
italy,campania,naples,2025-03-13,data,hosts,csv.gz
italy,campania,naples,2025-03-13,visualisations,listings,csv
italy,lazio,rome,2025-03-05,data,listings,csv.gz
italy,lazio,rome,2025-03-05,data,reviews,csv.gz
italy,lazio,rome,2025-03-05,data,hosts,csv.gz
italy,lazio,rome,2025-03-05,visualisations,listings,csv
italy,veneto,venice,2025-03-02,data,listings,csv.gz
italy,veneto,venice,2025-03-02,data,reviews,csv.gz
italy,veneto,venice,2025-03-02,data,hosts,csv.gz
italy,veneto,venice,2025-03-02,visualisations,listings,csv